x,y
4.081632653061225,3.0753142844208834
4.285714285714286,2.9396607557430814
5.714285714285714,3.9755212380552303
4.6938775510204085,3.29434878314419
2.0408163265306123,2.4108437202279833
7.346938775510204,4.650073405783978
8.775510204081632,5.210051619889654
9.183673469387756,5.385218894821294
4.8979591836734695,3.3042315442113996
8.571428571428571,5.350945762024899
2.4489795918367347,2.5969788420022932
3.673469387755102,2.861804398242396
3.0612244897959187,2.3751957176473453
1.2244897959183674,1.7188014709804438
5.510204081632653,3.5427818104046533
0.20408163265306123,0.7197392500851518
4.4897959183673475,3.5101946679334994
7.959183673469388,4.886993098018912
3.8775510204081636,3.1545679240828557
6.326530612244898,3.8939227375720793
0.40816326530612246,0.9112482837375219
2.6530612244897958,2.4357558942181634
7.755102040816327,4.750465499727962
9.387755102040817,5.010499433807863
2.2448979591836737,1.7794005009433849
3.2653061224489797,2.6912383830734976
1.6326530612244898,1.9252549791576272
5.3061224489795915,3.5124651362429984
1.4285714285714286,1.3790411473838284
3.4693877551020407,2.5146792832507696
6.530612244897959,4.569459512183281
7.551020408163265,5.057868433093616
7.142857142857143,4.8466213842769
10.0,6.075945405864675
0.0,1.1554552687379576
0.8163265306122449,1.0969307517139033
6.73469387755102,4.224593725412231
9.591836734693878,5.69436237061885
5.918367346938775,3.7339326898089222
8.979591836734695,5.821970567321574
0.6122448979591837,1.0387293329672465
5.1020408163265305,3.5346118886675058
9.795918367346939,6.037283595955355
1.0204081632653061,1.474275803990508
8.36734693877551,5.456835474639563
1.836734693877551,2.088778358884219
6.122448979591837,4.026990433392056
8.16326530612245,5.087430270126256
6.938775510204081,4.4563789325948
2.857142857142857,2.2140989613895137
